ageReported,householdReported,timePhase1,timePhase2,timePhase3,timePhase4,timeDem,timeRisk,languageEnglish,genderReported,gamble1,gamble2,incomeReported_10000,incomeReported_100000,incomeReported_15000,incomeReported_150000,incomeReported_25000,incomeReported_40000,incomeReported_60000,incomeReported_75000,maritalReported_divorced,maritalReported_engaged,maritalReported_married,maritalReported_separated,maritalReported_single,maritalReported_widow,pbdmBid,pbdmOffer,nCorrect,nInTime,timeExperiment,offerType,treated,ub,lb,prob_zero,prob_walls,budget_pbdm,tutorial_max_credits_1,tutorial_offer_1,tutorial_game_credits_1,tutorial_regret_1,tutorial_max_credits_2,tutorial_offer_2,tutorial_game_credits_2,tutorial_regret_2,tutorial_max_credits_3,tutorial_offer_3,tutorial_game_credits_3,tutorial_regret_3,tutorial_max_credits_4,tutorial_offer_4,tutorial_game_credits_4,tutorial_regret_4,tutorial_max_credits_5,tutorial_offer_5,tutorial_game_credits_5,tutorial_regret_5,tutorial_max_credits_6,tutorial_offer_6,tutorial_game_credits_6,tutorial_regret_6,pbdmRegret,prop
33.0,4.0,19.895999908447,257.76900005341,27.394000053406,142.71599984169,14835.152146489974,14835.152146489974,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,88,12,20,1.3721,PBDM,False,173.27212217669828,-54.32208478654028,0.132,0.05,110,5,2,20,5,5,5,7,5,5,9,18,9,10,12,14,15,24.0,6,8,8,28.0,7,17,11,100,0.1789539297253748
36.0,5.0,18.335999965668,280.68799996376,11.215000152588,546.50999999046,162829.03372543925,162829.03372543925,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,53.0,123,10,20,7.388233333333333,BDM,False,200.0,0.0,0.0,0.05,53,10,9,19,10,3,5,6,5,17,6,17,17,9,7,9,9,12,3,12,12,5,4,5,5,53,0.27
57.0,1.0,21.400000095367,475.07499980927,53.230000019073,271.16400003433,41344.28778947332,41344.28778947332,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36.0,64,12,19,1.7759833333333332,BDM,False,200.0,0.0,0.0,0.05,77,6,3,8,8,6,3,6,6,6,6,16,6,8,2,9,8,8.0,3,5,4,12.0,6,10,3,36,0.185
20.0,5.0,4.9279999732971,292.88599991798,18.282999992371,414.87299990654,98576.39204999816,98576.39204999816,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,150.0,150,15,20,4.967233333333334,BDM,True,200.0,0.0,0.0,0.05,24,50,1,5,4,15,17,17,17,17,10,18,10,8,8,14,9,8,2,14,5,5.0,2,5,3,150,0.755
35.0,1.0,6.1510000228882,250.19900012016,12.705999851227,371.90300011635,14000.595524269975,14000.595524269975,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,104,12,20,1.4754166666666666,PBDM,False,197.75336848359797,-71.70237260639598,0.143,0.05,65,10,5,15,10,6,9,11,6,10,11,13,10,8,6,8,8,20,9,18,20,7.0,3,7,5,45,0.26789191874109947
32.0,3.0,4.0149998664856,173.23200011253,7.5750000476837,115.35399985313,260791.96086900475,260791.96086900475,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,184,14,20,0.9296166666666666,BDM,False,200.0,0.0,0.0,0.05,68,5,1,9,5,8,9,20,8,2,4,5,2,3,3,9,3,4.0,4,5,2,5.0,5,6,2,30,0.155
26.0,1.0,6.9679999351501,231.66300010681,11.234999895096,360.41499996185,99796.13627485289,99796.13627485289,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,60.0,136,13,20,4.594216666666667,BDM,False,200.0,0.0,0.0,0.05,86,8,5,19,8,8,10,18,8,8,9,19,8,7,11,17,7,10.0,2,14,6,14.0,10,14,6,60,0.305
26.0,4.0,3.960000038147,154.69099998474,9.4210000038147,110.79999995232,55453.61256140332,55453.61256140332,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,172,11,20,1.47875,BDM,False,200.0,0.0,0.0,0.05,131,16,11,16,2,12,5,12,3,5,4,5,3,5,4,5,1,17,4,17,2,17,13,17,2,100,0.505
29.0,4.0,13.907999992371,342.13499999046,30.473000049591,306.0039999485,272537.3573985378,272537.3573985378,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,120.0,101,18,20,3.2954333333333334,PBDM,True,189.1743417389682,-62.695146554502635,0.127,0.05,129,9,2,17,5,7,9,13,7,11,16,20,11,10,15,16,10,17,15,18,17,14.0,3,14,12,120,0.6761201952576084
70.0,0.0,8.7860000133514,467.86600017548,65.417999982834,300.02899980545,565912.640646491,565912.640646491,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,152,14,20,3.2992166666666667,BDM,False,200.0,0.0,0.0,0.05,80,2,1,7,2,3,10,10,0,10,13,13,10,10,13,14,10,16.0,13,16,14,15.0,4,15,13,100,0.505
31.0,1.0,4.9350001811981,145.70799994469,12.713999986649,109.75300002098,1195664.3217871357,1195664.3217871357,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,15,17,20,1.2856666666666667,BDM,False,200.0,0.0,0.0,0.05,140,4,3,16,4,4,14,17,4,2,3,6,2,6,9,19,6,9,12,16,9,7.0,1,8,4,10,0.055
21.0,3.0,7.6370000839233,237.1740000248,9.1589999198914,108.30500006676,502740.5760863103,502740.5760863103,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,86,17,20,1.0267166666666667,PBDM,False,173.75073006174253,-63.07221763313557,0.154,0.05,50,0,10,10,11,60,23,16,24,20,19,19,18,15,14,16,15,10,3,11,10,15,9,16,15,0,0.17592559207500538
40.0,1.0,5.4049999713898,311.07399988174,16.605999946594,298.96700000763,117119.17133830243,117119.17133830243,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,37.0,0,17,20,2.61445,PBDM,True,174.4231683004004,-52.64558294536181,0.134,0.05,74,5,4,12,5,7,7,20,8,4,12,12,4,0,11,17,7,4,3,9,4,5.0,3,5,3,10,0.3315342170173057
25.0,3.0,5.5709998607635,201.15899991989,13.338000059128,195.8029999733,400177.93218362407,400177.93218362407,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0,18,20,2.154316666666667,PBDM,True,184.2119944715553,-52.90174391335949,0.118,0.05,147,6,2,17,3,5,6,19,7,3,5,10,3,6,8,12,6,11.0,3,15,5,15.0,8,17,0,20,0.23261983870798938
48.0,2.0,14.108999967575,356.24700021744,29.334999799728,269.84899997711,134649.22187982424,134649.22187982424,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,160,14,19,2.3013333333333335,PBDM,False,170.03967144424618,-56.33895757465761,0.143,0.05,90,6,2,16,3,2,6,6,2,3,10,10,3,2,7,8,2,7.0,4,9,3,11.0,3,19,7,10,0.2135180034366947
44.0,1.0,11.463999986649,346.41199994087,11.924000024796,252.20299983025,1061698.6767061383,1061698.6767061383,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,200.0,72,17,20,2.8362333333333334,BDM,True,200.0,0.0,0.0,0.05,147,5,3,17,4,9,8,9,9,13,9,13,13,20,4,20,20,12,5,12,12,20,15,20,20,200,0.999
38.0,2.0,18.328999996185,297.39900016785,59.846999883652,267.54999995232,290939.79257923976,290939.79257923976,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,81,17,20,1.9374,PBDM,False,181.0910284063802,-49.88696001245507,0.1185,0.05,143,5,1,14,2,11,12,20,13,3,6,8,7,12,12,11,12,10.0,6,6,4,14.0,3,13,7,85,0.24855896302051092
32.0,4.0,30.287999868393,306.58100008965,33.733000040054,444.81399989128,10828.87362368324,10828.87362368324,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,55.0,0,18,20,5.0808333333333335,PBDM,True,179.71693498655554,-69.24618747731954,0.163,0.05,88,1,4,5,5,5,4,6,5,7,9,14,10,7,1,8,7,8,1,13,8,17,8,15,17,55,0.4276196384223954
21.0,3.0,12.282999992371,457.4240000248,28.138999938965,333.5640001297,5064.264012866249,5064.264012866249,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,130,15,20,3.229833333333333,BDM,False,200.0,0.0,0.0,0.05,57,25,10,14,10,20,17,16,18,18,17,14,58,14,14,12,58,18,7,12,21,21,6,18,2,21,0.03
38.0,3.0,6.4389998912811,317.15000009537,12.879999876022,161.35100007057,788408.4359461983,788408.4359461983,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,144,15,19,1.5244833333333334,BDM,False,200.0,0.0,0.0,0.05,80,8,3,15,8,10,6,5,10,8,8,7,7,10,4,10,10,7,5,6,7,10,7,9,10,40,0.205
27.0,2.0,16.003000020981,386.81299996376,15.755000114441,197.97000002861,89300.86804619993,89300.86804619993,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,131,11,18,1.9024166666666666,PBDM,False,168.99334894027726,-55.078258733977584,0.127,0.05,82,6,4,9,9,9,10,13,10,12,13,15,14,9,11,11,11,12,5,12,12,19,9,19,19,50,0.39593706907836845
26.0,3.0,11.68499994278,252.1210000515,14.674999952316,147.99699997902,195852.65672222158,195852.65672222158,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,107,9,20,1.3724166666666666,BDM,False,200.0,0.0,0.0,0.05,6,4,2,8,4,6,10,18,6,8,13,15,8,8,8,13,8,8.0,7,9,4,12.0,15,16,3,131,0.025
22.0,2.0,11.042000055313,199.13599991798,10.947000026703,173.68099999428,162886.30472222215,162886.30472222215,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,60.0,130,15,20,1.2056,BDM,False,200.0,0.0,0.0,0.05,87,3,1,10,3,4,6,12,4,2,8,10,2,2,3,7,2,7,2,14,7,8.0,3,9,5,152,0.305
36.0,3.0,8.6870000362396,233.95499992371,11.556999921799,267.70300006866,209767.2994821424,209767.2994821424,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,65.0,79,14,20,3.04085,BDM,False,200.0,0.0,0.0,0.05,71,8,7,18,8,6,12,16,7,10,20,20,10,3,3,7,3,9,18,19,9,5.0,2,5,2,65,0.33
33.0,4.0,3.1190001964569,203.20599985123,33.02999997139,129.9240000248,152158.5478745618,152158.5478745618,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,73,12,20,1.1509833333333332,PBDM,False,176.68419184787848,-48.61169679342284,0.1085,0.05,29,7,5,10,5,10,10,17,11,14,15,19,16,14,6,14,5,12,8,19,5,20,2,7,3,40,0.22873723137445645
28.0,2.0,18.788000106812,523.73599982262,59.335000038147,312.31299996376,500823.2781130947,500823.2781130947,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0,19,20,2.9084666666666665,PBDM,True,174.51090476814576,-60.49460562528362,0.1515,0.05,43,9,8,17,9,8,10,14,8,17,17,19,17,5,5,6,5,14.0,4,14,12,16,13,17,16,100,0.6354492845893536
33.0,2.0,8.297000169754,272.22799992561,11.93700003624,297.65199995041,289908.49688947445,289908.49688947445,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,55.0,0,14,20,3.1955666666666667,PBDM,True,170.34735871371643,-69.2258686234557,0.1685,0.05,73,5,4,13,5,4,10,10,4,10,1,11,10,5,10,12,5,19.0,12,19,15,15.0,8,15,12,55,0.44475498760897797
30.0,5.0,7.0030000209808,172.88999986649,12.959000110626,172.32699990273,190430.31116081783,190430.31116081783,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,200.0,195,15,20,1.8082833333333332,BDM,True,200.0,0.0,0.0,0.05,40,100,57,13,58,10,10,5,10,50,21,14,22,30,11,7,12,20,6,15,7,10,4,7,5,19,0.999
56.0,2.0,20.043999910355,473.93000006676,50.248999834061,251.00500011444,178919.01608918066,178919.01608918066,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,46,12,20,1.7912333333333332,BDM,False,200.0,0.0,0.0,0.05,62,5,1,19,5,5,8,12,9,5,6,6,7,19,16,14,19,19.0,16,19,18,21,5,8,10,104,0.055
31.0,4.0,14.595999956131,603.40299987793,60.415000200272,237.07299995422,55048.043126608085,55048.043126608085,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,57,13,18,1.5942166666666666,BDM,False,200.0,0.0,0.0,0.05,60,60,51,10,50,30,12,8,11,15,14,13,14,11,10,10,11,6,3,5,6,13.0,3,13,11,152,0.055
32.0,2.0,38.025000095367,511.9430000782,57.701999902725,311.35800004005,187930.3391883051,187930.3391883051,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,50.0,10,17,20,3.500366666666667,PBDM,True,183.41593511620067,-73.13174545893679,0.166,0.05,58,3,2,6,3,10,17,17,18,14,7,14,14,07,9,9,10,8,2,5,8,10,5,9,10,50,0.40300419534922366
40.0,5.0,7.1420001983643,254.98299980164,22.107000112534,230.21900010109,281656.89358947554,281656.89358947554,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,183,9,20,3.0463,BDM,False,200.0,0.0,0.0,0.05,89,10,2,8,5,16,15,14,14,22,20,20,22,30,23,19,23,12,7,9,12,22,12,18,22,100,0.505
34.0,2.0,11.18799996376,251.49300003052,35.710000038147,359.34299993515,755324.6423228066,755324.6423228066,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,36,14,20,4.305016666666667,BDM,True,200.0,0.0,0.0,0.05,106,9,4,13,5,10,11,12,11,7,9,10,9,4,5,5,4,4,5,5,4,18,2,19,3,12,0.505
27.0,4.0,6.7769999504089,221.94499993324,31.818000078201,180.73900008202,64271.52920175477,64271.52920175477,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0,14,20,1.61045,PBDM,True,167.03225550733748,-53.04955844674886,0.1185,0.05,35,20,17,20,3,20,11,20,9,17,14,17,3,16,1,16,15,6,1,6,5,5,5,5,0,0,0.6439438132756161
43.0,2.0,6.7480001449585,340.64100003242,21.386999845505,370.75300002098,183489.18258362613,183489.18258362613,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,160.0,88,19,20,4.287083333333333,BDM,True,200.0,0.0,0.0,0.05,72,3,2,5,3,10,16,19,16,6,7,9,6,11,12,14,11,9.0,3,9,7,8.0,5,8,6,160,0.805
20.0,2.0,4.6340000629425,156.34000015259,9.0909998416901,128.71300005913,56689.74719444547,56689.74719444547,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,161,15,20,1.46435,BDM,False,200.0,0.0,0.0,0.05,156,9,1,18,9,3,7,7,7,19,1,19,19,18,2,18,18,5.0,4,5,3,7.0,2,7,5,100,0.505
67.0,1.0,0.041000127792358,318.39099979401,48.244000196457,289.73099994659,204017.52616374323,204017.52616374323,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,121,12,20,2.9242333333333335,BDM,False,200.0,0.0,0.0,0.05,65,2,1,11,2,4,17,17,18,9,9,15,10,8,14,16,15,6.0,6,6,6,10.0,5,10,6,0,0.01
39.0,3.0,13.826999902725,336.27100014687,21.821999788284,214.22500014305,124767.74347719282,124767.74347719282,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,170,13,20,1.4794,BDM,False,200.0,0.0,0.0,0.05,94,1,13,14,5,10,13,20,14,7,11,20,7,0,6,10,7,10.0,3,17,4,14.0,20,20,7,5,0.025
38.0,1.0,4.8959999084473,216.20800018311,11.369999885559,244.76399993896,58126.94207865424,58126.94207865424,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,115.0,71,19,20,2.8695666666666666,PBDM,True,174.18741853104189,-59.715031844749475,0.1475,0.05,137,010,3,19,10,08,17,17,8,02,5,6,2,06,6,8,6,,3,16,9,,3,11,6,115,0.7044607384377218
45.0,2.0,8.0720000267029,340.32899999619,17.84500002861,193.21799993515,107728.83624853789,107728.83624853789,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,2,17,19,1.6418666666666666,BDM,True,200.0,0.0,0.0,0.05,94,6,5,10,6,5,16,20,5,5,8,9,5,4,5,6,4,11.0,1,13,7,15.0,2,19,10,10,0.055
31.0,2.0,9.0089998245239,301.4390001297,13.555999994278,234.91799998283,191544.08150497018,191544.08150497018,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,109,9,20,2.758166666666667,BDM,False,200.0,0.0,0.0,0.05,86,05,1,19,2,6,8,15,9,11,14,16,15,3,5,5,3,9.0,1,9,2,7.0,6,7,4,86,0.435
51.0,4.0,33.453999996185,471.64599990845,34.052999973297,316.4350001812,496902.7154757315,496902.7154757315,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,197.0,35,17,20,4.107666666666667,BDM,True,200.0,0.0,0.0,0.05,70,6,4,6,4,4,4,6,-1,16,18,19,16,12,12,14,11,9.0,5,9,8,11,8,12,12,0,0.99
50.0,3.0,13.647000074387,394.38000011444,28.728999853134,275.46600008011,94635.35071169697,94635.35071169697,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,116,14,19,2.2085166666666667,PBDM,False,181.28115277990153,-56.434579044467924,0.1185,0.05,119,7,3,12,2,7,16,17,14,1,3,6,4,10,13,14,13,7,1,8,7,11,9,12,11,7,0.16991137314253613
